claro_id,nivel_m,direccion,grupo,perfil,elementos,nodos,nodo_i,nodo_j,nodo_critico,longitud_m,delta_max_m,delta_adm_m,ratio,uz_critico_m,uz_cuerda_m,nodos_intermedios,estado,metodo
DV-0032,3.2,Y,Viga_1,IR 356 x 44.6,153,"24, 37",24,37,37,1.5,0.0,0.00625,0.0,-0.0018949227241412793,-0.0018949227241412793,0,Cumple,delta_nodal_local_vs_cuerda
DV-0033,3.2,Y,Viga_1,IR 356 x 44.6,122,"18, 22",18,22,22,6.2,0.0,0.025833333333333333,0.0,-0.00091950973210429,-0.00091950973210429,0,Cumple,delta_nodal_local_vs_cuerda
DV-0034,3.2,Y,Viga_1,IR 356 x 44.6,132,"22, 26",22,26,26,6.1000000000000005,0.0,0.025416666666666667,0.0,-0.0008761740772292584,-0.0008761740772292584,0,Cumple,delta_nodal_local_vs_cuerda
DV-0035,3.2,Y,Viga_1,IR 356 x 44.6,139,"26, 30",26,30,30,6.199999999999999,0.0,0.02583333333333333,0.0,-0.0009189367993789461,-0.0009189367993789461,0,Cumple,delta_nodal_local_vs_cuerda
DV-0038,3.2,Y,Viga_1,IR 356 x 44.6,129,"21, 25",21,25,25,6.1000000000000005,0.0,0.025416666666666667,0.0,-0.0009532066029771587,-0.0009532066029771587,0,Cumple,delta_nodal_local_vs_cuerda
DV-0041,3.2,X,Viga_1,IR 356 x 44.6,121,"18, 19",18,19,19,5.299999999999999,0.0,0.02208333333333333,0.0,-0.0007803850980017508,-0.0007803850980017508,0,Cumple,delta_nodal_local_vs_cuerda
DV-0043,3.2,X,Viga_1,IR 356 x 44.6,134,"25, 26",25,26,26,6.32,0.0,0.026333333333333334,0.0,-0.0008761740772292584,-0.0008761740772292584,0,Cumple,delta_nodal_local_vs_cuerda
DV-0045,3.2,X,Viga_1,IR 356 x 44.6,140,"27, 28",27,28,28,5.450000000000001,0.0,0.022708333333333337,0.0,-0.00043742081879541244,-0.00043742081879541244,0,Cumple,delta_nodal_local_vs_cuerda
DV-0047,3.2,X,Viga_1,IR 356 x 44.6,146,"30, 31",30,31,31,5.299999999999999,0.0,0.02208333333333333,0.0,-0.0008156950245676474,-0.0008156950245676474,0,Cumple,delta_nodal_local_vs_cuerda
DV-0049,3.2,X,Viga_1,IR 356 x 44.6,128,"21, 22",21,22,22,6.32,0.0,0.026333333333333334,0.0,-0.00091950973210429,-0.00091950973210429,0,Cumple,delta_nodal_local_vs_cuerda
DV-0051,3.2,X,Viga_1,IR 356 x 44.6,133,"23, 24",23,24,24,5.450000000000001,0.0,0.022708333333333337,0.0,-0.0007079232712204383,-0.0007079232712204383,0,Cumple,delta_nodal_local_vs_cuerda
DV-0053,6.4,Y,Viga_1,IR 356 x 44.6,225,"40, 44",40,44,44,6.2,0.0,0.025833333333333333,0.0,-0.0012038799169025091,-0.0012038799169025091,0,Cumple,delta_nodal_local_vs_cuerda
DV-0054,6.4,Y,Viga_1,IR 356 x 44.6,252,"44, 57",44,57,57,1.5,0.0,0.00625,0.0,-0.0028248072997526137,-0.0028248072997526137,0,Cumple,delta_nodal_local_vs_cuerda
DV-0055,6.4,Y,Viga_1,IR 356 x 44.6,241,"48, 52",48,52,52,6.199999999999999,0.0,0.02583333333333333,0.0,-0.0013723069482096694,-0.0013723069482096694,0,Cumple,delta_nodal_local_vs_cuerda
DV-0057,6.4,Y,Viga_1,IR 356 x 44.6,253,"45, 58",45,58,58,1.5,0.0,0.00625,0.0,-0.002525733897856429,-0.002525733897856429,0,Cumple,delta_nodal_local_vs_cuerda
DV-0059,6.4,Y,Viga_1,IR 356 x 44.6,222,"39, 43",39,43,43,6.2,0.0,0.025833333333333333,0.0,-0.001608124048759431,-0.001608124048759431,0,Cumple,delta_nodal_local_vs_cuerda
DV-0060,6.4,Y,Viga_1,IR 356 x 44.6,232,"43, 47",43,47,47,6.1000000000000005,0.0,0.025416666666666667,0.0,-0.0015322544447586909,-0.0015322544447586909,0,Cumple,delta_nodal_local_vs_cuerda
DV-0061,6.4,Y,Viga_1,IR 356 x 44.6,239,"47, 51",47,51,51,6.199999999999999,0.0,0.02583333333333333,0.0,-0.0015582491718459661,-0.0015582491718459661,0,Cumple,delta_nodal_local_vs_cuerda
DV-0064,6.4,Y,Viga_1,IR 356 x 44.6,229,"42, 46",42,46,46,6.1000000000000005,0.0,0.025416666666666667,0.0,-0.0016079396299424047,-0.0016079396299424047,0,Cumple,delta_nodal_local_vs_cuerda
DV-0067,6.4,X,Viga_1,IR 356 x 44.6,221,"39, 40",39,40,40,5.300000000000001,0.0,0.022083333333333337,0.0,-0.0013043791378521117,-0.0013043791378521117,0,Cumple,delta_nodal_local_vs_cuerda
DV-0069,6.4,X,Viga_1,IR 356 x 44.6,234,"46, 47",46,47,47,6.32,0.0,0.026333333333333334,0.0,-0.0015322544447586909,-0.0015322544447586909,0,Cumple,delta_nodal_local_vs_cuerda
DV-0071,6.4,X,Viga_1,IR 356 x 44.6,240,"48, 49",48,49,49,5.449999999999999,0.0,0.02270833333333333,0.0,-0.0007427713217871934,-0.0007427713217871934,0,Cumple,delta_nodal_local_vs_cuerda
DV-0073,6.4,X,Viga_1,IR 356 x 44.6,246,"51, 52",51,52,52,5.300000000000001,0.0,0.022083333333333337,0.0,-0.0013723069482096694,-0.0013723069482096694,0,Cumple,delta_nodal_local_vs_cuerda
